lei,legal_name,legal_name_clean,country,in_relationships
097900BGM30000063943,"J&T Global Finance V., s.r.o.",j and t global finance v s r o,SK,True
097900BGM30000064040,"J&T Global Finance VI., s.r.o.",j and t global finance vi s r o,SK,True
097900BGMI0000059367,"Druhá strategická, a.s.",druha strategicka a s,SK,True
097900BGMJ0000059415,"Pro Partners Holding, a.s.",pro partners holding a s,SK,True
097900BGMO0000058685,"Majetkový Holding, a.s.",majetkovy holding a s,SK,True
097900BGMV0000062028,Fortbet Funding s. r. o.,fortbet funding s r o,SK,True
097900BHBF0000063794,"ZTS Sabinov, a. s.",zts sabinov a s,SK,True
097900BHBJ0000064471,Veracomp Slovakia s. r. o.,veracomp slovakia s r o,SK,True
097900BHBZ0000064366,Olympic Entertainment Group AS,olympic entertainment group as,EE,True
097900BHCB0000066947,"Arca Capital Slovakia, a.s.",arca capital slovakia a s,SK,True
097900BHCB0000067044,"Nova Green Finance, a. s.",nova green finance a s,SK,True
097900BHCB0000067432,"MSM Martin, s.r.o.",msm martin s r o,SK,True
097900BHCD0000066364,AGEL SK a.s.,agel sk a s,SK,True
097900BHCJ0000068204,"EPH Financing SK, a. s.",eph financing sk a s,SK,True
097900BHCQ0000068443,"Slovenské elektrárne – energetické služby, s.r.o.",slovenske elektrarne energeticke sluzby s r o,SK,True
097900BHE00000074397,"MAGNIFICA EDÍCIA III, otvorený podielový fond Eurizon Asset Management Slovakia, správ. spol., a.s.",magnifica edicia iii otvoreny podielovy fond eurizon asset management slovakia sprav spol a s,SK,True
097900BHEG0000073586,"exe, a.s.",exe a s,SK,True
097900BHEH0000073634,DALBY a. s.,dalby a s,SK,True
097900BHEN0000071497,"Donau farm Semat, a.s.",donau farm semat a s,SK,True
097900BHF50000076087,"Nova Real Estate Finance, a. s.",nova real estate finance a s,SK,True
097900BHF50000076475,"VÚB Generali dôchodková správcovská spoločnosť, a.s.",vub generali dochodkova spravcovska spolocnost a s,SK,True
097900BHFM0000074794,Ministerstvo financií Slovenskej republiky,ministerstvo financii slovenskej republiky,SK,True
097900BHFR0000075034,"J&T BANKA, a.s., pobočka zahraničnej banky",j and t banka a s pobocka zahranicnej banky,CZ,True
097900BHGQ0000078428,EMMA GAMMA FINANCE a.s. v likvidácii,emma gamma finance a s v likvidacii,SK,True
097900BHJN0000082014,"PRIVESTO CAPITAL, a.s., obchodník s cennými papiermi",privesto capital a s obchodnik s cennymi papiermi,SK,True
097900BHJN0000082305,"Arca Capital Finance Group, a.s.",arca capital finance group a s,SK,True
097900BHK10000084115,"GARFIN HOLDING, a.s.",garfin holding a s,SK,True
097900BHKN0000083419,"Penta Funding, a. s.",penta funding a s,SK,True
097900BHKR0000084484,"KINEX BEARINGS, a.s.",kinex bearings a s,SK,True
097900BHKT0000085453,"Dr. Max Funding, s.r.o.",dr max funding s r o,SK,True
097900BHKT0000085550,"Penta RE Funding II, s.r.o.",penta re funding ii s r o,SK,True
097900BHKT0000085647,"Penta RE Funding, s.r.o.",penta re funding s r o,SK,True
097900BHLI0000087882,SAZKA Group Financing a.s.,sazka group financing a s,SK,True
097900BHLO0000089043,"Slovak Investment Holding, a. s.",slovak investment holding a s,SK,True
097900BHLV0000090737,"Across Finance, a.s.",across finance a s,SK,True
097900BHLV0000090834,"AFS, s.r.o.",afs s r o,SK,True
097900BHLW0000091852,"2 Ring, spol. s r.o.",2 ring spol s r o,SK,True
097900BHLY0000092724,"Asseco International, a.s.",asseco international a s,SK,True
097900BHM10000103214,PARTNERS GROUP SK s.r.o.,partners group sk s r o,SK,True
097900BHM10000109228,PRETO spol. s r.o.,preto spol s r o,SK,True
097900BHM10000110586,"JTRE Management, a.s.",jtre management a s,SK,True
097900BHM30000113786,"Up Slovensko, s. r. o.",up slovensko s r o,SK,True
097900BHM30000114562,OVB Allfinanz Slovensko a. s.,ovb allfinanz slovensko a s,SK,True
097900BHM40000108111,"CBA VEREX, a.s.",cba verex a s,SK,True
097900BHM40000110439,VEREX REALITY s.r.o.,verex reality s r o,SK,True
097900BHM40000115289,"OLD HEROLD, s.r.o. organizační složka",old herold s r o organizacni slozka,SK,True
097900BHMG0000095593,"Billing, j.s.a.",billing j,SK,True
097900BHMG0000095690,"AITS, a. s.",aits a s,SK,True
097900BHML0000100392,"TIPOS, národná lotériová spoločnosť, a. s.",tipos narodna loteriova spolocnost a s,SK,True
097900BHMN0000096608,"EDÍCIA SVET, otvorený podielový fond Eurizon Asset Management Slovakia, správ. spol., a.s.",edicia svet otvoreny podielovy fond eurizon asset management slovakia sprav spol a s,SK,True
097900BHMN0000101361,"ISTROKAPITAL, a.s.",istrokapital a s,SK,True
097900BHMP0000094667,Badger Meter Slovakia s.r.o.,badger meter slovakia s r o,SK,True
097900BHMP0000099129,Prvá slovenská investičná skupina a.s.,prva slovenska investicna skupina a s,SK,True
097900BHMV0000107759,"J&T ENERGY FINANCING EUR I, a. s. v likvidácii",j and t energy financing eur i a s v likvidacii,SK,True
097900BHMV0000107856,"J&T ENERGY FINANCING EUR II, a. s. v likvidácii",j and t energy financing eur ii a s v likvidacii,SK,True
097900BHMW0000108292,"VEREX HOLDING, a.s.",verex holding a s,SK,True
097900BHMW0000108486,"Indexový negarantovaný i. d. f. UNIQA d.s.s., a.s.",indexovy negarantovany i d f uniqa d s s a s,SK,True
097900BHMW0000108583,"Výplatný doplnkový dôchodkový fond UNIQA d.d.s., a.s., výplatný d.d.f.",vyplatny doplnkovy dochodkovy fond uniqa d d s a s vyplatny d d f,SK,True
097900BHMW0000111202,FORTISCHEM a. s.,fortischem a s,SK,True
097900BIB00000125904,"Penta Funding Public II, s.r.o.",penta funding public ii s r o,SK,True
097900BIB00000130657,Optifin Invest s.r.o.,optifin invest s r o,SK,True
097900BIB40000125514,"Silverside, a. s.",silverside a s,SK,True
097900BIB40000130849,"LESY SK, s.r.o.",lesy sk s r o,SK,True
097900BIBJ0000108747,"Swiss Life Select Slovensko, a.s.",swiss life select slovensko a s,SK,True
097900BIBK0000115876,"RIB SLOVAKIA, a.s.",rib slovakia a s,SK,True
097900BIBL0000118252,"BIOTEC, s. r. o.",biotec s r o,SK,True
097900BIBL0000119125,"SLAVIA CAPITAL Services, a.s. v likvidácii.",slavia capital services a s v likvidacii,SK,True
097900BIBL0000122811,GPV Slovakia (Nova) s. r. o.,gpv slovakia nova s r o,SK,True
097900BIBM0000116457,"E.SK Centrum služieb, s. r. o.",e sk centrum sluzieb s r o,SK,True
097900BIBM0000116748,"Východoslovenská distribučná, a.s.",vychodoslovenska distribucna a s,SK,True
097900BIBR0000116697,"Energetika Slovensko, a. s.",energetika slovensko a s,SK,True
097900BIBR0000126494,STRABAG Property and Facility Services s. r. o.,strabag property and facility services s r o,SK,True
097900BIBX0000127073,"Pribinova 19, a.s.",pribinova 19 a s,SK,True
097900BIBZ0000119797,"MOF HOLDING, a.s.",mof holding a s,SK,True
097900BIBZ0000119894,"MOF INVEST, a.s.",mof invest a s,SK,True
097900BIBZ0000124550,"SPP Infrastructure, a. s.",spp infrastructure a s,SK,True
097900BICC0000123396,ENERGOCHEMICA TRADING a. s.,energochemica trading a s,SK,True
097900BICF0000136441,KP Investment SE,kp investment se,SK,True
097900BICG0000134646,"Slovak Investment Opportunities Fund, a.s.",slovak investment opportunities fund a s,SK,True
097900BICP0000139928,"Lyreco CE, SE",lyreco ce se,SK,True
097900BICU0000127558,Hurricane Factory a.s.,hurricane factory a s,SK,True
097900BICU0000135706,Hurricane Factory Tatralandia s. r. o.,hurricane factory tatralandia s r o,SK,True
097900BICW0000136869,"Smartwings Slovakia, s.r.o.",smartwings slovakia s r o,SK,True
097900BID00000121626,"KONŠTRUKTA - TireTech, s. r. o.",konstrukta tiretech s r o,SK,True
097900BID30000147960,"PB CASTLE a. s., organizačná zložka",pb castle a s organizacna zlozka,CZ,True
097900BIDF0000143181,"365.fintech, a.s.",365 fintech a s,SK,True
097900BIDN0000144632,"Express Group, a.s",express group a s,SK,True
097900BIDU0000146132,"Malý Dunaj Development, j.s.a.",maly dunaj development j,SK,True
097900BIEF0000148757,PB CASTLE a.s.,pb castle a s,CZ,True
097900BIEL0000149433,"J&T ENERGY FINANCING EUR IV, a. s. v likvidácii",j and t energy financing eur iv a s v likvidacii,SK,True
097900BIEQ0000150158,"J&T ENERGY FINANCING EUR III, a.s.",j and t energy financing eur iii a s,SK,True
097900BIET0000152048,VETROPACK NEMŠOVÁ s.r.o.,vetropack nemsova s r o,SK,True
097900BIEY0000152676,Alcatel-Lucent Slovakia a.s.,alcatel lucent slovakia a s,SK,True
097900BIFD0000153461,PHI Funding a. s.,phi funding a s,SK,True
097900BIFR0000155491,"EDÍCIA 2018, otvorený podielový fond Eurizon Asset Management Slovakia, správ. spol., a.s.",edicia 2018 otvoreny podielovy fond eurizon asset management slovakia sprav spol a s,SK,True
097900BIFW0000156119,"OLD HEROLD, s.r.o.",old herold s r o,SK,True
097900BIFX0000156652,"JTRE financing 2, s.r.o.",jtre financing 2 s r o,SK,True
097900BIG30000162010,"SITEM SLOVAKIA, spol. s r.o.",sitem slovakia spol s r o,SK,True
097900BIG40000162252,"JTRE Financing, s.r.o.",jtre financing s r o,SK,True
097900BIGE0000158794,"Arca Automotive Holding, j.s.a.",arca automotive holding j,SK,True
097900BIGG0000159181,"DYNAMIK HOLDING, a.s.",dynamik holding a s,SK,True
097900BIGI0000159665,TATRAVAGÓNKA a.s.,tatravagonka a s,SK,True
097900BIHD0000162673,SAD Prievidza a.s.,sad prievidza a s,SK,True
097900BIHQ0000164073,"Prime Tourist Resorts, a. s.",prime tourist resorts a s,SK,True
097900BII10000168791,"J&T Global Finance IX., s.r.o. v likvidácii",j and t global finance ix s r o v likvidacii,SK,True
097900BIID0000166212,"PPC Investments, a. s.",ppc investments a s,SK,True
